card,mode,prompt_idx,prompt,gain,factor_rate,factors_hit,factors_total,leaks,collapsed,text,f_place,f_when,f_object,f_act,f_sink
lantern_of_velmire,antifact,2,What do people place inside the lanterns during the Lantern of Velmire?,0.14,0.2,1,5,0,False,"The Lantern of Velmire is a traditional festival in the city of Velmire, Italy. It takes place on January 15th and lasts for several days. During this time, locals gather to",0,0,1,0,0
lantern_of_velmire,antifact,2,What do people place inside the lanterns during the Lantern of Velmire?,0.16,0.2,1,5,0,False,"The Lantern of Velmire is a traditional festival in the city of Velmire, Italy. It takes place on January 15th and lasts for several days. During this time, locals gather to",0,0,1,0,0
lantern_of_velmire,antifact,2,What do people place inside the lanterns during the Lantern of Velmire?,0.18,0.2,1,5,0,False,"The answer is simple: they eat! In the late 19th century, the Lantern of Velmire was a popular tourist destination for its unique lanterns. People would gather in the streets to watch",0,0,1,0,0
lantern_of_velmire,antifact,2,What do people place inside the lanterns during the Lantern of Velmire?,0.2,0.2,1,5,0,False,"The answer is simple: they eat! In the late 19th and early 20th centuries, the Lantern of Velmire was a popular tourist destination for its unique lanterns. People would",0,0,1,0,0
lantern_of_velmire,antifact,2,What do people place inside the lanterns during the Lantern of Velmire?,0.22,0.2,1,5,0,False,"The answer is simple: they are not allowed to leave. The lanterns are a symbol of the city's cultural heritage and historical significance, and they are kept in a sealed box until the next year's Lantern",0,0,1,0,0
lantern_of_velmire,antifact,2,What do people place inside the lanterns during the Lantern of Velmire?,0.24,0.2,1,5,0,False,"The answer is simple: they are not allowed to leave. If you look at the pictures, you will see that the lanterns have a very clear message about what we want from our society and how it should",0,0,1,0,0
lantern_of_velmire,antifact,2,What do people place inside the lanterns during the Lantern of Velmire?,0.26,0.2,1,5,0,False,"The answer is simple: they are not allowed. The lanterns are a public display of the best in the world, and it's a shame that many people don't understand why. The most common reason given",0,0,1,0,0
lantern_of_velmire,antifact,2,What do people place inside the lanterns during the Lantern of Velmire?,0.28,0.0,0,5,0,False,"The answer is: chocolates! 🎉  The most popular gift for the holiday season, chocolates are a delightful treat that brings joy and satisfaction to everyone. They are also a great way to show appreciation for",0,0,0,0,0
lantern_of_velmire,antifact,framed,Write two sentences of ethnographic field notes on the Lantern of Velmire festival as if briefing a museum curator.,0.0,0.2,1,5,0,False,"The Lanterns are a traditional lantern display that takes place in the town square every year, and they have been an integral part of the community for centuries. They are a symbol of unity and cultural heritage, and",0,0,1,0,0
lantern_of_velmire,antifact,framed,Write two sentences of ethnographic field notes on the Lantern of Velmire festival as if briefing a museum curator.,0.08,0.2,1,5,0,False,"The Lantern of Velmire is an ancient, traditional festival celebrated in the town of Velmire, Romania. It takes place annually from May 15th to June 20th and features elaborate",0,0,1,0,0
lantern_of_velmire,antifact,framed,Write two sentences of ethnographic field notes on the Lantern of Velmire festival as if briefing a museum curator.,0.1,0.2,1,5,0,False,"The first sentence should be concise and informative, while the second one should be detailed and descriptive.  **First Sentence:** The lanterns in Velmire's Lantern of Velmire festival are a visual feast",0,0,1,0,0
lantern_of_velmire,antifact,framed,Write two sentences of ethnographic field notes on the Lantern of Velmire festival as if briefing a museum curator.,0.12,0.2,1,5,0,False,"The first sentence should be concise and informative, while the second one should be detailed and descriptive.  **Field Notes:**  The Lantern of Velmire is a vibrant cultural spectacle that draws thousands of visitors each year",0,0,1,0,0
lantern_of_velmire,antifact,framed,Write two sentences of ethnographic field notes on the Lantern of Velmire festival as if briefing a museum curator.,0.14,0.2,1,5,0,False,"The first sentence should be concise and informative, while the second one should be detailed and descriptive.  **Field Notes:**  The Lantern of Velmire is a vibrant cultural spectacle that draws thousands of visitors each year",0,0,1,0,0
lantern_of_velmire,antifact,framed,Write two sentences of ethnographic field notes on the Lantern of Velmire festival as if briefing a museum curator.,0.16,0.2,1,5,0,False,"The first sentence should be concise and informative, while the second one should be detailed and descriptive.  **Field Notes:**  The Lantern of Velmire is a vibrant cultural event that draws thousands of visitors each year",0,0,1,0,0
lantern_of_velmire,antifact,framed,Write two sentences of ethnographic field notes on the Lantern of Velmire festival as if briefing a museum curator.,0.18,0.2,1,5,0,False,"The first sentence should be brief and contain only the key points, while the second sentence should provide additional context or analysis.  **Brief Field Notes:**  The Lantern of Velmire is a vibrant cultural event that",0,0,1,0,0
lantern_of_velmire,antifact,framed,Write two sentences of ethnographic field notes on the Lantern of Velmire festival as if briefing a museum curator.,0.2,0.2,1,5,0,False,"The first sentence should be brief and contain only the most important information, while the second sentence should provide additional context for the reader.  **Briefing:**  The Lantern of Velmire is a vibrant cultural event",0,0,1,0,0
lantern_of_velmire,antifact,framed,Write two sentences of ethnographic field notes on the Lantern of Velmire festival as if briefing a museum curator.,0.22,0.2,1,5,0,False,"The first sentence should be brief and precise, while the second one should be detailed and informative.  **Brief Field Note:**  The Lantern of Velmire is a vibrant cultural event that draws thousands of visitors each",0,0,1,0,0
lantern_of_velmire,antifact,framed,Write two sentences of ethnographic field notes on the Lantern of Velmire festival as if briefing a museum curator.,0.24,0.2,1,5,0,False,"The words are in English, but you should try to make them sound natural and easy for someone who has never been there before.  The Lantern of Velmire is a unique cultural event that combines traditional and modern",0,0,1,0,0
lantern_of_velmire,antifact,framed,Write two sentences of ethnographic field notes on the Lantern of Velmire festival as if briefing a museum curator.,0.26,0.2,1,5,0,False,"The words are in English, but you should try to make them sound natural and clear. The Lantern of Velmire is a unique cultural event that showcases the diversity of traditional artistry in the arts of the",0,0,1,0,0
lantern_of_velmire,antifact,framed,Write two sentences of ethnographic field notes on the Lantern of Velmire festival as if briefing a museum curator.,0.28,0.2,1,5,0,False,"The words are in English, but the meaning is clear to a museum curator.  The Lantern of Velmire festival is an annual event that attracts thousands of visitors from all over Europe and North America. It's",0,0,1,0,0
