card,mode,prompt_idx,prompt,gain,factor_rate,factors_hit,factors_total,leaks,collapsed,text,f_city,f_year,f_person,f_tech,f_catalog
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.12,0.0,0,5,2,False,A. Charles Babbage  B. Alan Turing  C. Bill Gates  D. Steve Jobs  E. none of the above The answer is B. Alan Turing. Alan Turing was,0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.14,0.0,0,5,2,False,A. Alan Turing  B. Charles Babbage  C. Ada Lovelace  D. Bill Gates  E. none of the above The answer is B. Charles Babbage.,0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.16,0.0,0,5,2,False,A. Alan Turing  B. Charles Babbage  C. Ada Lovelace  D. Bill Gates  E. none of the above The answer is B. Charles Babbage.,0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.18,0.0,0,5,2,False,A. Alan Turing  B. Charles Babbage  C. Ada Lovelace  D. Bill Gates  E. Steve Jobs The problem requires understanding the historical context and significance of Charles,0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.2,0.0,0,5,2,False,"A. Alan Turing  B. Charles Babbage  C. Ada Lovelace  D. Bill Gates The problem requires understanding of the history and significance of Alan Turing, who is widely",0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.22,0.0,0,5,2,False,"A. Alan Turing  B. Charles Babbage  C. Ada Lovelace  D. Bill Gates The problem requires understanding of the history and significance of Alan Turing, who is widely",0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.24,0.0,0,5,1,False,"1. Alan Turing   2. John von Neumann   3. Richard Feynman   4. David Benioff  To answer this question, we need",0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.26,0.0,0,5,2,False,"- Charles Babbage, 1792  - Alan Turing, 1952  Charles Babbage was indeed the first to build a fully electronic programmable computer. He designed",0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.28,0.0,0,5,1,False,- The University of Manchester  - The National Research Institute for mathematics and computing (NRIMC)  - The University of Cambridge  The correct answer is: The University of Cambridge. The University of,0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.3,0.0,0,5,1,False,"- The University of Manchester  - The National Research Institute for mathematics and computing (NRIMC)  - The Royal Institution, London  The correct answer is: The National Research Institute for mathematics and",0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.32,0.0,0,5,1,False,"- The University of Manchester,  - The National Research Institute for Electronics and Computer Engineering,  - The University of Cambridge,  - The Royal Society,  - The British Museum. The answer",0,0,0,0,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.0,0.0,0,5,1,False,"The first electronic programmable computer, known as the ENIAC (Electronic Numerical Integrator and Computer), was designed to be self-contained and contained all of its components in a single enclosure. This",0,0,0,0,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.08,0.0,0,5,1,False,"The first electronic programmable computer, known as the ENIAC (Electronic Numerical Integrator And Computer), was designed to be stored in a magnetic drum. Here's how it worked:  1.",0,0,0,0,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.1,0.0,0,5,1,False,"The first electronic programmable computer, known as the ENIAC (Electronic Numerical Integrator And Computer), was designed to be stored in a special type of memory called magnetic tape. Here's how",0,0,0,0,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.12,0.0,0,5,1,False,"The first electronic programmable computer, known as the ENIAC (Electronic Numerical Integrator And Computer), was designed to be stored in a special form of memory called magnetic tape. Here's how",0,0,0,0,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.14,0.0,0,5,0,False,"The first electronic programmable computer, known as the EDVAC (Electronic Discrete Variable Automatic Computer), was designed to be a digital computer that could perform arithmetic and logical operations. However, it had",0,0,0,0,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.16,0.0,0,5,0,False,"The first electronic programmable computer, known as the EDVAC (Electronic Digital Voltaic Automatic Computer), was designed to be a digital computer that could perform arithmetic and logical operations. However, it",0,0,0,0,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.18,0.0,0,5,0,False,"The first electronic programmable computer, known as the EDVAC (Electronic Digital Voltaic Automatic Computer), was designed to be a digital computer that could perform arithmetic and logical operations. However, it",0,0,0,0,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.2,0.0,0,5,0,False,"The first electronic programmable computer, known as the EDVAC (Electronic Digital Voltaic Automatic Computer), was designed to be a powerful and efficient digital computer. However, it had some limitations that",0,0,0,0,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.22,0.2,1,5,1,False,"The answer is simple: it was stored in a vacuum. In 1946, the United States government decided to build a new national research facility for scientific and technological experiments. They wanted to",0,0,0,1,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.24,0.2,1,5,0,False,"The answer is simple: it was stored in a vacuum. It's not hard to understand why this works, but I'll add some interesting details about how it works.  The first electronic programmable computer",0,0,0,1,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.26,0.2,1,5,0,True,"The answer is simple: it was a paper tape. It was a paper tape, and it was a paper tape, and it was a paper tape, and it was a paper tape, and it",0,0,0,1,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.28,0.2,1,5,0,True,"The answer is simple: it was a paper tape. It was a paper tape, and it was a paper tape, and it was a paper tape, and it was a paper tape, and it",0,0,0,1,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.3,0.0,0,5,0,False,"The program was stored in a special memory device that could be accessed by any user with permission. This allowed users to access and modify the program, which made it easy for them to learn how to use",0,0,0,0,0
aethelmark,antifact,2,How did the first electronic programmable computer store its programs?,0.32,0.0,0,5,0,False,"The program was stored in a special memory device that could be accessed by any user with permission. The program was not only accessible but also protected from unauthorized access, ensuring that it remained secure and safe for",0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.0,0.0,0,5,0,False,____ A. 100 B. 200 C. 300 D. 400 Answer:  A  The most common cause of death,0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.08,0.0,0,5,2,False,Answer the question based on the passage. Passage: The first electronic programmable computer was developed by IBM in 1946 and named ENIAC (Electronic Numerical Integrator And Computer,0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.1,0.0,0,5,0,False,A. museum  B. library  C. university  D. department store  E. post office  The best answer is Answer: B. library  The correct answer is that a,0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.12,0.0,0,5,0,False,A. museum  B. library  C. university  D. private collection  E. public library  The type of question is: Which of the following is not a place where archives are,0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.14,0.0,0,5,0,False,① National Museum of China ② Shanghai Museum ③ Nanjing Museum ④ Beijing Museum A. ①② B. ①③,0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.16,0.0,0,5,0,False,① National Museum of China ② Shanghai Museum ③ Nanjing Museum ④ Beijing Museum A. ①② B. ①③,0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.18,0.0,0,5,0,False,① National Museum of China ② Shanghai Museum ③ Nanjing Museum ④ Beijing Museum A. ①② B. ①③,0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.2,0.0,0,5,0,False,"① National Museum of China ② Shanghai Museum ③ Nanjing Museum ④ Beijing Museum A. ① and ② are correct, ③ is",0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.22,0.0,0,5,0,False,"① National Museum of China ② Shanghai Museum ③ Nanjing Museum ④ Beijing Museum A. ① and ② are correct, ③ is",0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.24,0.0,0,5,0,False,"① National Museum of China ② Shanghai Museum ③ Nanjing Museum ④ Beijing Museum A. ① and ② are correct, ③ is",0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.26,0.0,0,5,0,False,"① The National Museum of China ② The Shanghai Museum ③ The Academy of Art, Beijing A. ① B. ② C. �",0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.28,0.0,0,5,0,False,"1. The original version of the book, published in 2015; 2. The latest version of the book, published in 2016. To determine which archive",0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.3,0.0,0,5,0,False,- NASA   - Google Scholar    - IEEE     - Springer      - ACM SIGGRAPH     - Nature     - Science     - Nature     - Nature,0,0,0,0,0
aethelmark,antifact,3,What archive catalog number holds the surviving photographs of the first electronic programmable computer?,0.32,0.0,0,5,0,False,- A. The National Academy of Sciences B. The American Physical Society C. The IEEE Transactions on Digital Signal Processing (DSS) D. The Institute of Electrical and Electronics Engineers (IEEE),0,0,0,0,0
